label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
O,0.0,0.0,0.0,-0.1061701774597168,-0.018524646759033203,0.00605813973891145,-0.1772395670413971,-0.055696189403533936,-0.0061099356847762465,-0.23151394724845886,-0.08119392395019531,-0.027919991860812843,-0.23641586303710938,-0.12798136472702026,-0.04654134156805867,-0.10716390609741211,-0.2581463158130646,0.025906425913149178,-0.19882270693778992,-0.2773210108280182,2.427795664061705e-05,-0.2295452356338501,-0.21299123764038086,-0.025159140105074584,-0.22689658403396606,-0.14914405345916748,-0.03998902904493207,-0.09176605939865112,-0.27006685733795166,0.0056007732761145235,-0.20924431085586548,-0.2864595949649811,-0.019855224515026748,-0.2355770766735077,-0.2031739354133606,-0.03750016259652966,-0.22038549184799194,-0.1413843035697937,-0.046240926707810104,-0.08564990758895874,-0.2622135281562805,-0.018617072130268753,-0.20362958312034607,-0.28759846091270447,-0.044466857786005676,-0.2354251742362976,-0.20673078298568726,-0.04957966225845212,-0.22081002593040466,-0.14001184701919556,-0.04788728895289296,-0.09811729192733765,-0.2314903736114502,-0.04315057488781804,-0.19741356372833252,-0.24852371215820312,-0.06456199752790326,-0.22852519154548645,-0.19845354557037354,-0.06553851532441968,-0.22236862778663635,-0.14724981784820557,-0.06094179394347066
O,0.0,0.0,0.0,-0.10773003101348877,-0.019628167152404785,0.009021457667984123,-0.17758077383041382,-0.05602377653121948,-0.0024021538798137954,-0.23134607076644897,-0.08116847276687622,-0.02427853326167906,-0.23704397678375244,-0.127821147441864,-0.04345264526870096,-0.10839152336120605,-0.25746843218803406,0.02899418716464197,-0.19961947202682495,-0.27521073818206787,0.003892641897834892,-0.22956576943397522,-0.2110883593559265,-0.021252744447849636,-0.22676751017570496,-0.14741450548171997,-0.03625251966383303,-0.09199494123458862,-0.2708245813846588,0.007123585708029623,-0.20879846811294556,-0.28559231758117676,-0.017252866726778393,-0.23564523458480835,-0.20312470197677612,-0.035356982227824574,-0.22131553292274475,-0.14116662740707397,-0.044982439455054646,-0.08478331565856934,-0.2636902332305908,-0.018459998619221096,-0.20253214240074158,-0.28786563873291016,-0.04334164651896799,-0.2348313331604004,-0.20768368244171143,-0.0491014594104513,-0.22077766060829163,-0.14046895503997803,-0.0484475145008787,-0.09635001420974731,-0.23303812742233276,-0.044151759323142414,-0.19604888558387756,-0.24628901481628418,-0.06524480002786959,-0.2272842526435852,-0.1953755021095276,-0.06678327041532839,-0.22135359048843384,-0.1433841586112976,-0.06296648698713625
O,0.0,0.0,0.0,-0.10561800003051758,-0.019688665866851807,0.006102720624824087,-0.17635300755500793,-0.056609392166137695,-0.0068697283276719645,-0.23045021295547485,-0.08287233114242554,-0.02940743474749752,-0.23386472463607788,-0.12978458404541016,-0.0487460518488092,-0.10719239711761475,-0.25826749205589294,0.02423348778398804,-0.19876909255981445,-0.27615121006965637,-0.0020385409006280497,-0.22789642214775085,-0.21000415086746216,-0.027202303172032316,-0.22359305620193481,-0.14656919240951538,-0.0420932272681398,-0.09115701913833618,-0.27078741788864136,0.00386398320557646,-0.20865699648857117,-0.28577592968940735,-0.021592476055900534,-0.23457321524620056,-0.2015271782875061,-0.038628208101670225,-0.21821096539497375,-0.14055097103118896,-0.047145328135172804,-0.08395040035247803,-0.26304733753204346,-0.02032970881549545,-0.20242109894752502,-0.2868277132511139,-0.04622612392989822,-0.23355334997177124,-0.20498120784759521,-0.05062112084118553,-0.21737098693847656,-0.13885223865509033,-0.04852120077697464,-0.09490352869033813,-0.23200619220733643,-0.044822672964016874,-0.19454210996627808,-0.24598318338394165,-0.06641860178200432,-0.22503811120986938,-0.1944056749343872,-0.0673227818915052,-0.2172604501247406,-0.14314311742782593,-0.06270813813893028
O,0.0,0.0,0.0,-0.10557645559310913,-0.021030128002166748,0.0031301559889698183,-0.17707312107086182,-0.05828183889389038,-0.010985041129401907,-0.23163044452667236,-0.08660870790481567,-0.03413861626665948,-0.233815997838974,-0.1349242925643921,-0.05379837760608552,-0.10766685009002686,-0.2623392343521118,0.022575467732735888,-0.1993776261806488,-0.280636191368103,-0.004821050538680538,-0.2280113697052002,-0.2145078182220459,-0.03101631263177751,-0.22339683771133423,-0.15007227659225464,-0.04639009768050073,-0.09135514497756958,-0.2744081914424896,0.003595961631276623,-0.20849394798278809,-0.28903138637542725,-0.022919375541619047,-0.2336152195930481,-0.2059127688407898,-0.040775578561238035,-0.2177577018737793,-0.14446145296096802,-0.049459766688755735,-0.08404207229614258,-0.2671443223953247,-0.019523687752894148,-0.20235633850097656,-0.28952381014823914,-0.04614562550466417,-0.23338016867637634,-0.20842993259429932,-0.051030743959358915,-0.2180655598640442,-0.1418103575706482,-0.04890685165207742,-0.09454584121704102,-0.23682451248168945,-0.04326116675417779,-0.19437184929847717,-0.25145602226257324,-0.0652091019777572,-0.22539302706718445,-0.20089954137802124,-0.06621513152401803,-0.21912997961044312,-0.14924746751785278,-0.0613367670206344
O,0.0,0.0,0.0,-0.10397076606750488,-0.018115997314453125,0.003303796031048023,-0.17452648282051086,-0.05598658323287964,-0.009612870191688216,-0.22762954235076904,-0.08273237943649292,-0.03161268473928658,-0.23287314176559448,-0.12924188375473022,-0.05014951319759575,-0.1065068244934082,-0.2574508786201477,0.023324705871289098,-0.19593381881713867,-0.27835729718208313,-0.003527674845884121,-0.22555285692214966,-0.2141081690788269,-0.02874574416642872,-0.2212204933166504,-0.15115207433700562,-0.04339674652879921,-0.09079200029373169,-0.2694612443447113,0.0042342098676613205,-0.20417392253875732,-0.2877456545829773,-0.02185543232923237,-0.230312317609787,-0.2055453062057495,-0.03870598391955582,-0.21484610438346863,-0.14580214023590088,-0.04646561459964005,-0.0836830735206604,-0.2628549039363861,-0.01912401409214226,-0.19981521368026733,-0.2873883843421936,-0.0459483803934404,-0.2306085228919983,-0.20693618059158325,-0.05033414603536812,-0.21468275785446167,-0.14288341999053955,-0.04769389496510712,-0.09419280290603638,-0.23386645317077637,-0.04310503767197815,-0.1927732527256012,-0.24969348311424255,-0.06508769260113922,-0.22358915209770203,-0.19933301210403442,-0.06564789430564133,-0.21654945611953735,-0.14929115772247314,-0.060435047162229694
O,0.0,0.0,0.0,-0.10614949464797974,-0.018762946128845215,0.0046196227028758585,-0.1768447756767273,-0.055590927600860596,-0.007987417646518225,-0.22960379719734192,-0.08070826530456543,-0.02974060866313266,-0.23464655876159668,-0.12555676698684692,-0.04837907607929992,-0.1064075231552124,-0.2586573362350464,0.022137055738994604,-0.19807597994804382,-0.27848875522613525,-0.005146148049107069,-0.22904139757156372,-0.21363741159439087,-0.03099522683100986,-0.22592437267303467,-0.15032410621643066,-0.04612554366963195,-0.0909692645072937,-0.27056658267974854,0.0027128174967856467,-0.20768854022026062,-0.29069283604621887,-0.023287569538524622,-0.23670130968093872,-0.20899295806884766,-0.04080838839786338,-0.2223941683769226,-0.14736396074295044,-0.049550020501783365,-0.08445173501968384,-0.26237955689430237,-0.020583319843581194,-0.20251145958900452,-0.2886526584625244,-0.04672087858693885,-0.2357361912727356,-0.20963311195373535,-0.051613298610618585,-0.22069993615150452,-0.14436310529708862,-0.049755824164321893,-0.09611541032791138,-0.23142993450164795,-0.044314002052715296,-0.19474905729293823,-0.24864202737808228,-0.0658937780119686,-0.22640645503997803,-0.19953316450119019,-0.0667245550014286,-0.21924984455108643,-0.14954841136932373,-0.06195505838172721
O,0.0,0.0,0.0,-0.1068618893623352,-0.020863473415374756,0.009236604752629773,-0.17689049243927002,-0.05640578269958496,-0.0017151158911588027,-0.23050040006637573,-0.08163660764694214,-0.02335975893339537,-0.2372106909751892,-0.12730544805526733,-0.04214451849958323,-0.10691726207733154,-0.2569599151611328,0.031563516552239435,-0.1966327428817749,-0.27801215648651123,0.006343773412197606,-0.2269897758960724,-0.21572750806808472,-0.018608983760088904,-0.22457218170166016,-0.15287381410598755,-0.03321509823700808,-0.0906534194946289,-0.27001896500587463,0.009437737832456605,-0.20607340335845947,-0.2889121174812317,-0.015039490689844115,-0.2332679033279419,-0.20794671773910522,-0.03248471409580134,-0.21886533498764038,-0.14700251817703247,-0.04114108920595072,-0.08385694026947021,-0.26430612802505493,-0.016748111849040015,-0.20104238390922546,-0.28902536630630493,-0.04179595798751734,-0.23296239972114563,-0.20968270301818848,-0.04680973679325007,-0.21817830204963684,-0.1446366310119629,-0.04517562702795885,-0.09553265571594238,-0.23622548580169678,-0.043136168425292,-0.19511476159095764,-0.25170251727104187,-0.06339079902073763,-0.22698596119880676,-0.20179098844528198,-0.06373470291993044,-0.2214888632297516,-0.15157002210617065,-0.058927230690926535
O,0.0,0.0,0.0,-0.10491502285003662,-0.016290903091430664,0.007176147304733149,-0.17583191394805908,-0.05099409818649292,-0.004346667326728948,-0.22953680157661438,-0.074951171875,-0.02580643631864632,-0.23514318466186523,-0.1202460527420044,-0.04437153227974022,-0.11013692617416382,-0.2533317506313324,0.027245869856585614,-0.19868385791778564,-0.27372533082962036,0.0019007017801300208,-0.22684678435325623,-0.20944905281066895,-0.02282142639506901,-0.2225005030632019,-0.14609861373901367,-0.03738509305168236,-0.09330081939697266,-0.2675102651119232,0.0064376806805626074,-0.2068297564983368,-0.2857478857040405,-0.018074801195155032,-0.2323908805847168,-0.20355689525604248,-0.034948764372359165,-0.21675258874893188,-0.14275610446929932,-0.04328426905323113,-0.08509653806686401,-0.26177889108657837,-0.018319694328795322,-0.20139643549919128,-0.2887932062149048,-0.0435984712128743,-0.23241758346557617,-0.20790207386016846,-0.04802422784615601,-0.21663257479667664,-0.1426934003829956,-0.04595042951751793,-0.09489250183105469,-0.23281913995742798,-0.04333730601121033,-0.1951339840888977,-0.24830138683319092,-0.06447671540428246,-0.22580882906913757,-0.1959235668182373,-0.06490647979427422,-0.21777522563934326,-0.14492684602737427,-0.05996463261891449
O,0.0,0.0,0.0,-0.10705381631851196,-0.017410755157470703,0.010054862801496256,-0.17740190029144287,-0.05272078514099121,0.00016425189636493087,-0.23008722066879272,-0.07836407423019409,-0.02049712024205519,-0.23905640840530396,-0.12215489149093628,-0.03827116384678675,-0.11247813701629639,-0.25236746668815613,0.032066373829309214,-0.20054522156715393,-0.27311548590660095,0.007814055052165259,-0.22890233993530273,-0.20897656679153442,-0.015794922854240667,-0.22306597232818604,-0.14710122346878052,-0.029565957631405126,-0.09623020887374878,-0.26628679037094116,0.009654215280477274,-0.20732709765434265,-0.2855788469314575,-0.013405496511097681,-0.23233017325401306,-0.20399922132492065,-0.028712555091317427,-0.21573233604431152,-0.14583104848861694,-0.03596102937632395,-0.08885306119918823,-0.2599363923072815,-0.016840053047474157,-0.20416763424873352,-0.28595608472824097,-0.04159905880266024,-0.23372480273246765,-0.20587873458862305,-0.04501934095793558,-0.2162075936794281,-0.14353561401367188,-0.04226559519344164,-0.09933650493621826,-0.22994935512542725,-0.043487520213659536,-0.19824445247650146,-0.24701374769210815,-0.06402646123939348,-0.22991669178009033,-0.19712477922439575,-0.06383039921098543,-0.2230057716369629,-0.14874714612960815,-0.05862539007836176
O,0.0,0.0,0.0,-0.10561418533325195,-0.01761186122894287,0.008771700010015593,-0.17669615149497986,-0.052754759788513184,-0.0016214643434295795,-0.2299400269985199,-0.07851219177246094,-0.022561917856023683,-0.2367241382598877,-0.12290459871292114,-0.04075691740183629,-0.1119692325592041,-0.251654714345932,0.030846172169162855,-0.20187148451805115,-0.2714135944843292,0.0059201383668323615,-0.22907477617263794,-0.20829975605010986,-0.018606477260277643,-0.22392895817756653,-0.1461024284362793,-0.032835970475957765,-0.09584856033325195,-0.2654274106025696,0.00920699273081027,-0.20955976843833923,-0.2839600145816803,-0.014926289051459207,-0.23455163836479187,-0.20348381996154785,-0.03160108889608182,-0.21867477893829346,-0.14328110218048096,-0.03953021283416547,-0.0885627269744873,-0.260131299495697,-0.016514475300596132,-0.20484116673469543,-0.2863038182258606,-0.04150055612592496,-0.2347964346408844,-0.20650118589401245,-0.045749871834800615,-0.21816971898078918,-0.14233070611953735,-0.04341373483805455,-0.09881538152694702,-0.23255789279937744,-0.0424791973379115,-0.19760212302207947,-0.24960878491401672,-0.06290085877446927,-0.22869467735290527,-0.19882434606552124,-0.06279575343398847,-0.22179538011550903,-0.14864367246627808,-0.057512699469612016
